# Glossary in tab-separated format -*- coding: utf-8 -*-
alternative translation	traducció alternativa
auto-completion	emplenament automàtic
by default	per defecte
external search	cerca externa
file	fitxer
files	fitxers
fuzzy match	coincidència parcial
glossary	glossari
history	historial
meta-tag	metaetiqueta
project	projecte
regular expression	expressió regular
source file	fitxer d'origen
source files	fitxers d'origen
source text	text d'origen
spellchecker	corrector ortogràfic
subfolder	subcarpeta
target file	fitxer de destinació
target files	fitxers de destinació
target text	text de destinació
team project	projecte en equip
writeable glossary	glossari modificable
ZIP	ZIP
file name	nom del fitxer
repository	dipòsit
target language	llengua de destinació
fuzzy matches	coincidències parcials
source language	llengua d'origen
warning	avís
enable	habilitar
disable	inhabilita
remove	suprimir
howto	guia
multiple translations	diverses traduccions
replace	substitució
charset	joc de caràcters
character set	joc de caràcters
font	lletra
writable glossary	glossari modificable
